session_id,session_date,app_name,app_category,device,user_age_group,user_tech_savvy,intended_action,total_dark_patterns_found,total_pattern_instances,hidden_fees,fake_urgency,pre_checked_boxes,confirmshaming,sneaked_into_basket,hard_to_cancel,false_social_proof,forced_continuity,roach_motel,misdirection,price_comparison_blocking,trick_questions,disguised_ads,bait_and_switch,time_spent_minutes,intended_spend_usd,actual_spend_usd,extra_charges_usd,action_outcome,completed_intended_action,frustration_score,would_use_again
S-909149,2024-08-31,TravelDeal-Booking,Travel,Tablet,18-24,Medium,book_cheapest_option,3,6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,12.5,150,166.38,16.38,completed_booking,1,3.1,1
S-900608,2024-08-29,FoodFast-Delivery,Food Delivery,Mobile,45-54,Medium,order_dinner,4,7,2,0,1,0,3,0,0,0,0,1,0,0,0,0,7.5,25,116.54,91.54,completed_purchase,1,3.8,0
S-910265,2024-08-14,SocialFeed-App,Social Media,Mobile,18-24,Low,check_notifications,3,12,0,0,0,0,0,0,0,0,0,4,0,4,4,0,9.7,0,0,0,completed_purchase,1,5.0,1
S-903617,2025-03-28,MegaShop-Ecommerce,E-commerce,Desktop,45-54,High,buy_one_item,6,14,3,2,2,0,0,0,4,0,1,0,0,0,0,2,9.4,40,40,78.81,noticed_hidden_fee_abandoned,0,6.6,0
S-910691,2025-08-16,NewsHub-Media,News/Media,Mobile,18-24,Medium,read_one_article,3,10,0,0,0,0,0,0,0,4,2,0,0,0,4,0,9.7,0,9.94,9.94,completed_purchase,1,4.6,0
S-910180,2025-04-04,SocialFeed-App,Social Media,Mobile,18-24,Medium,check_notifications,5,13,0,0,0,0,1,0,0,0,2,4,0,3,3,0,9.4,0,24.09,24.09,completed_purchase,1,6.2,0
S-904264,2024-11-20,FoodFast-Delivery,Food Delivery,Mobile,35-44,High,order_dinner,4,6,1,1,1,0,3,0,0,0,0,0,0,0,0,0,6.3,25,64.75,39.75,completed_purchase,1,3.1,0
S-909274,2024-09-25,FitPro-Subscription,Fitness SaaS,Desktop,45-54,High,cancel_subscription,4,10,0,0,0,0,0,1,0,4,1,0,0,4,0,0,7.6,0,0,0,completed_cancellation,1,5.3,1
S-911326,2024-07-07,FoodFast-Delivery,Food Delivery,Mobile,18-24,High,order_dinner,4,9,1,0,4,0,2,0,0,0,0,2,0,0,0,0,9.7,25,63.78,38.78,completed_purchase,1,3.9,1
S-900827,2025-08-13,FoodFast-Delivery,Food Delivery,Mobile,45-54,Medium,order_dinner,6,12,3,2,4,0,1,0,0,0,0,1,0,0,1,0,12.6,25,25,55.09,noticed_hidden_fee_abandoned,0,6.2,0
S-900523,2025-07-15,FitPro-Subscription,Fitness SaaS,Desktop,25-34,High,cancel_subscription,4,8,0,0,0,2,0,0,0,3,0,0,0,2,1,0,5.7,0,0,0,completed_cancellation,1,3.6,1
